gene	male-old_adult-fine-3
101929623	0
101929631	-0.006718942407677202
101929651	0
101929657	0
101929690	0
101929693	0
101929694	0
101929717	0
101929718	0.01322042052355751
101929719	-0.05243251379358739
101929726	0
101929730	0
101929745	0
101929748	0
101929759	-0.028564968979040282
101929760	-0.0016434922559791648
101929765	-0.08076809146190685
10193	-0.010457248300392283
101930114	0
101930421	0
101930452	0.008507469864305074
10194	-0.00284913755990355
10195	0
101954204	0.03545251094833581
10196	0
10197	0
101978719	0
10198	0.02627569017806702
10199	0.002728607594592199
102	0
1020	0.0018243459202319662
10200	-0.003890638622190613
10201	0
10202	0
10203	0
10204	0
10205	0
10206	0
102060282	0.03551423834435971
10207	0.003264188571143434
10208	0
10209	0
1021	-0.10244007464997315
10210	0
10211	0
10212	0
10213	0
10214	0.005189521279064267
10215	0
102157402	0
10216	0.023737247956246006
10217	0
10218	0.007260550167128721
10219	0
1022	-0.005706282997653028
10220	0
10221	0
10223	-0.014659383732875765
10224	0.005803179717681779
10225	0
10226	0.019960900933399712
10227	-0.017042087858741402
10228	-0.024378441610517238
10229	0
10230	-0.005673173159031869
10231	0.0144474873506928
10232	0
10233	0
10234	-0.012697767062354023
10235	-0.006329780007325798
10236	-0.008353362167591563
10237	0
10238	0
1024	0
10240	0
10241	0
10242	-0.023475537624141354
10243	0.035298899573538586
10244	0
10245	0.00921361456246203
10246	-0.004195446151497425
102467079	0.00975115043950392
10247	-0.042008903598300604
10248	0
10249	0
1025	-0.008820000052102574
10250	0
10251	0
10252	0.014476640116050562
10253	0.006950562786854123
10254	-0.005837593211515544
102546226	-0.016018096970932184
102546294	0
10255	0.06773622493250027
10256	0
10257	-0.10387092308723639
1026	0.045674616372455665
10260	0
10261	-0.054153061885467105
10262	0
10263	-0.018838145176736324
10265	0.0025196475354312205
10266	0.05589218762637772
10267	-0.007302152630765309
10268	0.02525174110048774
10269	0
1027	0
10270	0.013366007766952855
10272	0
102723335	0.003575762243405655
102723526	0.007144933896202602
102723661	0.0027576801293722614
102723684	0
102723692	-0.022958141262374967
102723701	0
102723775	-0.025358362710821987
102723786	0
102723809	0
102723932	-0.0012012483258032347
102724009	0
102724094	-0.02700455027048648
102724201	0
102724323	-0.013571568870871225
102724368	0.05267769691339471
102724508	-0.027856893702138872
102724511	-0.001430492619574965
102724532	-0.008280807415046389
102724612	0.009315218351913956
102724699	9.605150338311847e-4
102724814	0.007023543863402919
102724927	0.050770567988195396
102724929	0
10273	-6.96544823378937e-4
10274	0.002507979301848833
10276	-0.07489230481120969
10277	0
10278	-0.002746960199594412
10279	0.010893322286486908
1028	-0.00775567284261674
10280	-0.008001004310353964
10281	0
10282	-0.008257138746846474
10283	0.00857571489210335
10284	0
10285	0
10286	-0.004166549350308781
10287	-0.022858176486837037
10288	0.010102335077610037
10289	0.0035070892989691365
1029	0.11500075469396935
10290	0
10291	0
10293	0
10294	0.010490276566036917
10295	-0.017877194779864526
10296	-7.855419406484248e-4
10297	0
10298	0.02500218199012999
10299	0
103	0
1030	0.004175261428459309
10300	0
10301	-0.026979095783052038
10302	0.016344931626871746
10307	0
10308	-0.008046377603606434
10309	-0.010563910245267705
1031	-0.021851711777454104
10311	0
10312	-0.003282135996631094
10313	1.236340553160823e-4
10314	0
10316	0
10317	-0.00759317520993615
10318	0
10319	0.04594338895593363
1032	0
10320	-0.002283747889014697
